HSTM SF Record,Subject,Trainer Comments
5004V000011UtdxQAC,Implementation Series 1,"Session #1-TG 1/16/20- QAPI assessment overview and key points on completing assessments, navigation, help section and brief overview of where the data goes on the SBCA Report. Prior to this session Rowena had the staff set up on the training platform. None were viewed. If time permitted they were also going to go ahead and start on the sample that we created on 12/18/19. Rowena stated they didn't have time. Today she wanted a brief overview of the assessments, how to log in, get to the sample and where the data went so they would have a basic understanding of the first step. She will give them an assignment and would like to work on the sample until 3/4/20 when we will do Session #2 and view reports and create a purposeful snapshot. I will set up a task to review the account in February and another to remind her of the next training. They were reminded of their access to the training platform for additional guidance if needed. Rowena will plan to look at the SBCA as they progress. They are expecting surveyors anytime since they are in their window. Attendees: Rowena, Bonnie, Tarsha and Jenna."
5004V000011UtdXQAS,abaqis Implementation Series 1,"Implementation Series Session 1: 06/17/19 Attendee : Linda Anderson, MDS and abaqis manager Summary of Training Had call with Linda Anderson, new abaqis manager. Linda was logged into abaqis during the call. Provided overview of abaqis and role of the abaqis manager. She stated she is part-time; hence, will be managing abaqis in addition to her MDS responsibilities. She is computer savvy. Created a new QAPI random sample (Spring/Summer 2019) with 10/27 residents. Linda identified the staff that will complete the assessments. Cleaned up abaqis dashboard by archiving snapshots and facility ad hoc tasks. Discussed user management and keeping users current. Demonstrated how to delete users that are no longer employed at Meadowbrook as well as adding users.  Session #2-2/21/20-TG with Kim and Brandi. We reviewed the changes to the new dashboard, navigation, created a Sample and overview of getting started with the QAPI assessments. Kim will get her staff started and Brandi will help oversee. Kim wanted a smaller sample size and wants to work on the sample and investigations until the end of June and a new sample will be done on July 1st. She will try and do a full sample next time once everyone gets refreshed on abaqis. Next session scheduled for 3/12/20 at 1pm to review their data and qapi reports. I will send link and the abaqis manager checklist for Brandi. I will also set a task to check progress prior to next session. "
5004V000011UtdyQAC,Implementation Series 1,"IS #1 08/18/20 : Attendee - Aysha Kuhlor, VP. Aysha is new to abaqis and requested an overview training. Provided a high level, 60 minute overview and also touched on Core-Q per Aysha's request. They had this workflow activated by Aysha did not understand how to access it after she set up the workflow. The workflow was not showing up because the start date was set in the future. I turned the controls over to Aysha and walked her through changing the start date and assigning staff to complete the interviews. They have not uploaded MDS files since March so no recent discharge residents were showing up. After the training Aysha said she had planned to cancel abaqis but is now reconsidering. Add'l training set up for Aug 25th."
5004V000011UtdzQAC,Implementation Series 1,"Session #1-TG-1/17/20-Core Q training with Darrin. He also had several questions about the snapshot. We locked his sample and created and qapi snapshot. It was determined his staff has been trained on the snapshot and investigations, but he hasn't. I answered his questions and set up a investigations training with him for 1/31/20 at 3 pm est. Link was sent. He is not sure if he will end up doing Core-Q or not. He wants to gather more information about it and then decide if it will be beneficial for them or not. They currently use ours and doesn't have any problem with it and is not sure if he needs to do both. Session #2-TG-1/31/20- investigation overview with Darrin along with investigation reports. He wanted how the SBCA report linked to the investigations and then after investigations where the data went, so covered investigation reports. We also discussed if he wanted to activate Core Q, he stated he does but not right now. Maybe in the next 6 weeks or so. He stated they fell off of doing abaqis in 2019 and wants to get the team back in a routine. We also talked about the training platform and he would like to have all modules so he can jump in a refresh himself when he is thinking of something specific. He also would like some of his staff to also have access. He will send me a list of their names. We discussed the Client Needs Review and he will send me some dates he has available and get that set up in the next month. "
5004V000011Ute0QAC,abaqis Implementation Series 2,"IS#1 07/24/20: Attendees - Josphine ""Josie"" Lucero (MDS Nurse), April O Ruben (AIT), Kortney Lucero (DON), Shelly Phillips (Business Office Manager), Patrick Aragon  (Marketing and Admissions Director), Naomia Concho (Human Resources Manager), Charnell Sanchez (Food Service Director), Sabrina Scott (Medical Records Clerk), Reviewed the QAPI Sample Assessments, QAPI process, Implementation, and help and training. Their MDS files are not up to date. April said she would add Josie so she can upload MDS files. IS #2 09/02/20 : Attendees - April Ruben, Tracy Zamora, Kortney Lucero, Josie Lucero, Sabrna Scott, Chanell Sanchez, Naomi Concho. Provided a refresher overview of the QAPI Sample and Investigation. Reviewed QAPI Assessment Reports of recently completed sample. Noted missing comments. Walked Kortney through creating an Investigation Snapshot. April asked if it was okay for individuals to reach out to me for 1:1 training - I agreed. Recommended f/u Investigation training."
5004V000011Ute1QAC,LOT Package Continued,"IS #1 09/15/20: Attendees -  Deb Morgan (DNS); Riya Patel, (AIT) Billy Nelson (Administrator); Kelly Gigliotti  (ADNS).  Topics included: : Identify Team, Determine QA Cycle, Create QAPI Sample, Make Assignments, View Reports. Also provided a broad overview of the Mock Survey feature. Billy said he wanted to wait to turn this on until they have done a couple QAPI samples. IS #2 09/17/20 : Attendees - Deb Morgan (DNS); Riya Patel, (AIT) Billy Nelson (Administrator); Kelly Gigliotti  (ADNS), Nicole McDonough, JoAnne Horelick, Julie Parent, Jadin Murphy, Elizabeth Weeks, Tricia Cunningham, Sandra Hawes, Mary Stonely, Stephanie Swap, Jocelynn  Jackson. In this session we reviewed each QAPI Assessment and discussed which staff would be doing the assessments (Billy provided that instruction). Also reviewed the help section and Forms. Billy asked the staff to print the RI and RO and practice with each other on the interviews, and go into a resident's room to practice completing the observation assessment."
5004V000011Ute2QAC,abaqis Implementation Series 1,"5/28/20-TG-with Tanya and Abbie to go over the FA. Started the training and about half way in Tanya stated that Gail-Administrator already does this on paper. She stated that Gail manually gathers the information and has created one that she gives to the surveyors upon entrance. Tanya stated that she didn't want to do two and she knew that Gail would not do it  in abaqis and that one of the nurses would have to do it for her. She stated before we went any further she wanted to discuss with Gail on whether or not she would want it in abaqis or not. I reviewed with her the benefits of having it in abaqis, MDS loading the resident population profile data for them and having it housed to keep it updated without having to do it manually. She wasn't sure and wanted to talk to Gail about it. She stated she had done the QAPI Plan in abaqis before 2018, but never updated it in abaqis. Next week our training will be a refresher. We already have that set up. She will update me next week on the FA and if needed I will repeat the FA training and encouraged her that Gail could attend the sessions. She stated Gail probably wouldn't and I got the sense that Gail is not computer savvy.  6/4/20-TG with Tanya and Abbie to do a refresher on QAPI Plan and PIP's. Tanya has done the QAPI plan in their live site, but been awhile since she has looked at the PIP's section. We walked through the steps to build both of them. She stated she talked to the Administrator and at this time they will not be using abaqis for the FA. Again I went over the benefits, but she stated the Administrator wants to continue her own process. We already have our next session scheduled same day and time next week. Tanya already has the link and a task is set for a reminder."
5004V000011Ute3QAC,abaqis Implementation Series 1,"(Session 1) SSweeney, March 13, 2019 abaqis Overview training. Conducted an abaqis overview reviewing many features of the software, Also reviewed the following: abaqis navigation  8 steps of the implementation handbook.  abaqis manager roles Need for 6 months worth of MDS upload into abaqis  How to manage the resident list How to lock and create a samples Missing Items PIP example How to make a few compliance decisions via the investigation snapshot immediate action plan document brief review of the investigation snapshot reports trend analysis report (per request) Next training session on Friday, March 15th will include a review of the PAC and QAPI Reports per Shannon's request. (Session 2) S.Sweeney, March 15, 2019 (PAC, Review of Samples again, Partner Report & market Analysis Map)  Conducted implementation  session 2 to include a review of the following: PAC and PAC Reports Partner Report  Market Analysis Map Reviewed creating and locking samples again Made Shannon the presenter and discovered that she does not have QA admin rights nor investigations access. She will notify her LNHA, who will then forward  the request to their IT department. She will not be able to lock the current sample nor create their new sample until she has the appropriate level of access. In the meantime she has already cleaned up the resident list which now matches their current census of 52. I reviewed again the process for locking and creating samples. Also demonstrated the associated help document.  Demonstrated how to verify  which MDS assessments have been uploaded in to the software.  She voiced that she along with her DON have decided to use our 4week/8week module for assessments and investigations. She conveyed that the facility staff do not like abaqis, but says that she loves it. Discussed that she will need to be an abaqis champion and will need to provide much needed encouragement.     Not sure if she still needs MDS upload assistance at this point. Apparently she and her DON (who also does MDS's) cleaned up the resident list in the past few days. She did have questions about assessments without matching MDS data. Might be good to reach out to answer any relevant MDS upload questions.      "
5004V000011Ute4QAC,abaqis Implementation Series 1,"Session 1 - Had a lengthy phone conversation with Grace on 4/29/19. She wanted me to walk through every step with her, with managing residents, creating sample, and printing the assessments list. She first wanted to create their sample. I walked through that with her. She knew where to go and how to create it. We discussed the sample sizes. She decided on 25 for census and 5 for admission. She thought she had to lock the sample after she created it. I educated her that you lock it after all of the assessments have been completed. When she reviewed the residents in the sample, she said that there were multiple residents that had discharged and were still showing as active. MDS uploads were up to date. I explained that it's likely the DC MDS hadn't been uploaded yet, but then showed her how to manually discharge residents. I took her to the resident list. I walked her through how to go in and edit the resident's stay. She couldn't remember the discharged dates, so she wrote down all of the resident names and then called someone to get the discharge dates. She then thought she had to create her QAPI snapshot. I educated her that the snapshot is created after the assessments are completed, so that snapshot incorporates all the responses coded on the assessments.  While he was looking up the discharge dates, I showed her how to get to the assessments to complete them. While I was doing that, she received the discharge dates. We then navigated back to the resident list and she started inputting the d/c dates. As she doing that, I heard a couple of the discharge dates, which were all for the month of April. I explained again that they needed to make sure DC MDS were being uploaded. She thought they may have a delay in completing their MDS - she would look into that. I then navigated her to the QAPI sample under the manage tab so she could see how discharging residents translated into the sample. I showed her how she could see the residents that got replaced and by whom. We then navigated to the assessments and showed her that was where they went to complete assessments. She wanted to know how to print it for assignments. I showed her the 'save and print' option and she printed the residents/assessments. We discussed how long they wanted to spend doing assessments/investigations. She wanted to give the staff 3 weeks to do assessments - so she wanted them done by May 21st. Then the remaining time would be spent on investigations. She asked if abaqis sent any reminders that a deadline was approaching - her staff were requesting that so that they knew they needed to get their assessments done. She said she always emails them with the deadline initially, but they forget. I explained that abaqis doesn't do that, but that I could send them emails with reminders. She said she would set up calendar invites for the staff with reminders and then she wanted me to email her with the reminders, to remind her. I will plan to do that. She did express that her staff were kind of 'lost' with what to do. She wasn't sure if her staff were actually doing the assessments or investigations - she worried that they were just marking everything postive. I offered to complete a webinar or two with the staff so we could regroup, provide additional training, and answer any questions that they had. She said she would offer that to her staff. All of Grace's questions were answered. She was very appreciative of my time. I let her know that she can always call or email me at any time, which she always does when she needs something. As I've mentioned in previous notes, Grace is a challenge to work with, but we do have a good relationship. She needs things broken down and simplified for her to understand. Session 2 (8/19/19) - Had a 40 minute phone conversation with Grace on 8/19/19. She said their compliance officer was at the building towards the end of July and she received her report and wanted my assistance. She asked about the Casper report and whether that could be integrated into abaqis. Explained that it couldn't, but the Casper report could be used to identify areas for PIPs. She asked whether they needed to have an action plan if there was no Ftag identified, as the compliance officer said they needed to have corrective action. We discussed the Investigations reports - specifically the Ftag one. She had not run these. When we ran the report, they had 7 Ftags identified and Grace did not know about them. We discussed options for corrective action. I showed her the QAPI Immediate Action Plan. Explained using the Immediate Action Plan vs PIPs. I showed her how the print the Ftag investigation report. Showed her how to print other quarters as well. She wanted to give these to the compliance officer. She had a couple other questions and all questions were answered. She was going to work on her response to the compliance officer and she wanted to run it by me. She would give me a call later in the week. Session 3 (9/22/20): Training completed with Anthony Pham (new NHA). Jo Ann, the DON was supposed to be on the training, but she had to take a call with the ombudsman. I am not sure if she showed up for the training or not, but I don't believe she did. Anthony was not familiar with abaqis, aside from the little bit Greg explained to him. We did an abaqis overview. I started out by explaining the dashboard/landing page and went into navigation. While going through navigation, I explained the various functions of the program - survey readiness (samples/investigations), PAC, QAPI tools, customer satisfaction, reports, etc. After explaining the different functions, I then went back and showed him the functions and how they worked. I showed him what the sample/assessments looked like. Showed him the snapshot and the PAC assessments. I went through the PIP example so he could see what our template was like. I showed him the QAPI plan and then took him to the reports. I briefly showed him a few reports in this section (SBCA, PAC, customer satisfaction) and explained the other reports. I then went through the help and training resources link and explained cycles. I showed him the meeting minutes section. There were no questions throughout. Anthony said it was pretty self-explanatory. He said he would play around with it and would let me know if he had any questions. He said he knew they were deficient in some areas and needed to start working on things to improve. He thought they may start a sample in October. He appreciated my time and thought the training was helpful."
5004V000011Ute5QAC,abaqis Implementation Series 1,"3/22/19 Session 1 refresher/re-engagement: Ann-Marie West (Administrator) and Becca Wald attended the session today. Ann-Maire prefers to send me a Skype invite for her trainings so this training was conducted via Skype business. I assisted her with generating a new sample and checking the resident list for accuracy. She wanted to do the sample before the end of Q1 so a smaller sample of 10/3 was selected. She said they had their survey last week and did well but are waiting for the 2567, which should be delivered by 4/1.  IS#2 1/21/20: Attendees - Ann-Marie West (Admin), Becca Wald (QA Nurse), Marlyce Cozart (MDS Nurse). Ann-Marie prefers skype so this training took place on skype per Ann-Marie's preference. They have not been active in abaqis for nearly a year. Verified MDS files up to date and reviewed the new dashboard. Provided instruction on deleting and adding Users, Creating a Sample, and closing and creating a Facility Assessment. Reviewed the sections of the Facility Assessment and provided guidance for adding participants. Ann-Marie requested we meet again in 2 weeks and said she will send me a skype invite. "
5004V000011Ute6QAC,abaqis Implementation Series 1,IS #1 8/1/19: Attendees - Lori Nolden (DON) and Ewa Rejniak (Nurse). Reviewed their current PIP on Falls and Psychotropic and provided feedback. Lori informed me she was resigning from Lutheran Life effective Friday and will be the DON at The Moorings (Presbyterian Homes) in Arlington Heights. Ewa will be the PIP contact going forward.  IS #2 913/19 Attendee: Ewa Rejniak (Nurse). Reviewed 2 of their existing PIPS (Falls and Psyche Meds) and provided feedback/suggestions. 
5004V000011Ute7QAC,Corporate Implementation Series 1,"Session #1-TG 6/16/20 with all four facilities: Attendees: Allen , Jennifer, Mitch, Leslie, Sarah, Cheryl, Bryan and Mark. We covered navigating the new dashboard and the Covid 19 workflow. There were no questions. We will reschedule the 7/3/20 session that was scheduled d/t holiday. I will send Bryan new dates and he will decide and a new link will be sent.  Session #2-TG-9/22/20-See Attendee List. Bryan and I were suppose to co-lead this session. I did an abaqis overview and Bryan was supposed to do the remaining time on implementation and corporate expectations of all homes. He emailed yesterday and said he may not be on and he would follow up with the homes on his expectations later. Bryan did not join the meeting today. I will set a task to follow up with Bryan to see if he has anymore training needs. "
5004V000011Ute8QAC,abaqis Implementation Series 1,"IS #1 1/28/20: Attendees - Belinda Ru,ssell, QA Nurse; Nicole Russell, QA Nurse; Shelby Reynolds (Administrative Assistant/Med Records). They had not been active in abaqis for 3 quarters. Recently they uploaded all their MDS files but their Resident list still showed discharged residents. Assisted them in adding Users, cleaning up Resident list, and generating the QAPI Sample. They would like to do a rolling sample in order to capture all residents prior to their CP meeting. They have CP meetings once a week and cover 6 residents. Shelby will be responsible for making the QAPI Assessment assignments. I provided suggestions for making assignments, e.g., choose residents at least 2 weeks prior to CP meeting; print the QAPI Sample every Monday morning and highlight the Residents to be completed that week; Put the initials of the staff responsible to complete the QAPI assessment next to the corresponding open circle on the print out; Ensure the QAPI Assessments are completed prior to their scheduled CP meeting. Will f/u in 2 weeks to cover Reports and PIPs. IS# 2 2/1120: Attendees -  Belinda Russell, QA Nurse, and Shelby Reynolds, Administrative Assistant. We started the session by discussing what worked and what didn't over the last couple of weeks. Belinda expressed frustration with the MDS staff because they have not been providing a list of residents with upcoming Care Plan meetings. They are choosing their residents in the sample based on who is coming up for care plan. Belinda said she talked with the Administrator and expects the problem will be fixed. Shelby is making the assignments and said she is getting a lot of push back from staff about completing the assessments. Shelby said they do not see the value in doing the QAPI assessments and they say they don't have time. We reviewed the QAPI Assessment Reports and I encouraged them to share the reports with the staff as a way to promote buy-in. Belinda felt the reports would be a good thing to bring to the monthly QA meeting. Next, we reviewed the PIP template using an example from the RI report about Food Quality. I showed them how to use the quality score as their Baseline Measurement. I explained the importance of Root Cause Analyses and gave an example using the 5 Whys. Belinda said they were in their survey window and wanted to make sure their QAPI Plan was up to snuff. I reviewed their plan and suggested they add their QA team (no names or titles were listed). I showed them how to save it as formal and mark it when printing it for survey. They asked for another webinar in a couple weeks to review their progress. Next webinar is scheduled for March 3rd at 11 AM CST. "
5004V000011Ute9QAC,abaqis Implementation Series 2,"IS #1 09/16/20: Attendees - Deneane Beard, Consultant; Helena Jagielski    Director of Nursing; Amber Weigt    LTC Manager; Lynzy Dunaway    Healthcare Unit Coordinator (HUC); Trisha Johnson    MDS/Educator. Walked them through creating a sample and accessing the sample. Briefly reviewed each assessment related to the time it takes to complete. Discussed assignments and reviewed the assignment worksheet. Also discussed QAPI cycles and reviewed the worksheet. Lastly, I demonstrated how to access the training platform and suggested they view the Assess videos (RI, RO) prior to the next session.  IS #2 09/23/30: Attendees - Helena Jagielski    Director of Nursing; Amber Weigt    LTC Manager;  Trish Johnson    MDS/Educator; Teresa Coleman    MDS Coordinator. Demonstrated how to access the QAPI Sample. Reviewed each QAPI Assessment and suggested staff/discipline to complete. Reviewed QAPI cycle (2 Samples/year 10 week/14week) and Sample Size. They need to complete 1 census resident per week to complete the sample in 10 weeks. No questions."
5004V000011UteAQAS,abaqis Implementation Series 2,"IS #1 03/05/20 : Attendees - Brad Liebman, Administrator; Aida Rosado, Director of Recreation; Christine Abrigo, Director of Nursing; Stephanie Charles, Food Service Director;  Geraldine Palmos, MDS. This facility previously generated a Facility Assessment in 2019 but never entered any text. Demonstrated how to close the 2019 FA and create a new FA. Reviewed the new format and showed them how to easily access their FA via the task tab on the dashboard. Assisted in setting up the new FA with participants. They were late logging in so we ran out of time to cover all the sections. Covered the Resident Population Profile Section for Function and Acuity and provided examples of what should go in the text boxes. They requested another webinar in a couple weeks. I will send them the FA help document along with date options for next webinar. IS #2 10/20/20 : Attendees - Brad Liebman, Administrator; Christine Abrigo, Director of Nursing. During today's webinar I reviewed the newly updated COVID-19 self-assessment and created one for Grand Manor with Brad's permission. I reviewed our new dashboard and demonstrated how to access, manage and edit workflows. I provided a broad, high level overview of the Mock Survey. Brad and Christine asked if I could provide a detailed webinar with the larger group of management staff on 10/15. Mock Survey webinar scheduled for 10/15 at 1 PM ET."
5004V000011UteBQAS,abaqis Implementation Series 1,"IS #1 9/4/19: Attendees - Betty Bernard (DON); Cynthia Anthony Staff Coordinator; Donna Guillotte, Staff Nurse; Melody Coleman, QA Nurse; Lindzi Faul, RN. This webinar was to help them restart abaqis and introduce them to QAPI tools they had not been using. Started by reviewing the Corporate QAPI Plan and then generated a Facility Level Plan. With Betty's permission and input I assisted them with adding QA team members and other notes to their plan. Next we looked briefly at the FA with was completed primarily by Melody. I reminded the to duplicate the plan annually, on or before the create date. Next due date is January 2020. They are currently doing PIPs on paper but I encouraged them to consider putting their PIPs in abaqis. Next I assisted them with generating a current sample and then reviewed the QAPI Reports. Betty said the have all the same staff so the did not need training on completing the QAPI Assessments since they have completed them in the past. Finally, I reviewed the Readmission Report and talked about how this report can be used in their QA meetings. Throughout the webinar I talked about the upcoming regulations and interjected how abaqis can help them to show evidence of compliance (where relevant). Will monitor progress and set task to remind Betty and Melody to duplicate FA in January 2020. IS #2 1/27/20 : Attendees - Cynthia Anthony, Staff Coordinator, and Melody Coleman, QA Nurse. Reviewed the new abaqis dashboard. Demonstrated how to easily access the Facility Assessment; how to close a workflow; how to create and copy a new FA workflow and add Participants; and how to edit the new plan. I reviewed the Resources in the FA, specifically, the Staffing Worksheet. I reviewed the QAPI Plan. Per Melody, they have an old plan on paper and wanted to upload it abaqis. I reviewed the various sections of the abaqis QAPI plan and suggested the copy and paste their plan into our template, and offered assistance to do so.  IS #3 2/14/20: Attendees - Cynthia Anthony, Staff Coordinator, and Melody Coleman, QA Nurse. Reviewed the new dashboard and demonstrated how to easily access the QAPI Plan from the Recent Activity panel and/or the QAPI Tools section. Reviewed the text in each section and showed them how to edit and save changes. Also answered questions about accessing and editing PIPs. Melody asked for another webinar on PIPs. Scheduled for 2/28/20 at 10:30 AM."
5004V000011UteCQAS,abaqis Implementation Series 1,"Session 1 (10/2/19): Completed training with Crislyn while we completed the Needs Review. This training was completed by me walking her though click by click. I took her to the Help and Training resources link to show here where Client Support's contact information was. While she was in there, she asked me about the various Help Documents that were there. She ended up printing: Getting Started w/Random Sample; Why Use Samples; Tips for Managing Residents; Starting QAPI Assessments; Generating QAPI Reports. I walked her though how to create a sample. We discussed the sample sizes. She decided on 30 C and 5 A. She put the end date for Nov 1st and was thinking maybe they could do 1 resident a day. After creating the sample and looking through it, she was excited that most everyone was still in the building. She said there were two that had discharged. I walked her through the steps of discharging residents. I then showed her how to find who the residents were replaced with. Both replacement residents were still in the building. I then showed her how to get started with the assessments and complete them. We then scheduled 3 additonal trainings. We'll discuss reports on 10/16/19 at 11am CT. We'll discuss Investigations on 11/6/19 at 11am. We'll discuss PIPs on 11/20/19 at 11am CT. More trainings will likely occur after this, but this is what we scheduled for now. *Not sure an evaluation needs to go out for this training. Session 2 (10/16/19): Training completed with Crislyn. We got started 25 minutes late. I called Crisyln at 10 minutes after 11am ET and the woman who answered couldn't get ahold of her. I then followed up with an email and she arrived to the webinar 10 minutes later. She said she was on a call. It sounded like she had trouble logging into the webinar as well. We discussed the SBCA, MDS 3.0, MDS Indicator Rates, and Summary by Resident. She didn't think a couple of the MDS items were correct. I instructed her to speak with MDS to see if there was a coding error. While reviewing the MDS Indicator Rates Report, she asked which MDS the information came from, and I told her I would find that information out. She didn't like that when you clicked on the resident's name, it didn't tell her which MDS it came from. That was all she wanted to cover for training - she said it was plenty. All questions answered.  Session 3 (11/8/19): Training completed with Crislyn, Bernice (SSD), and Angie (Activities). I informed Crislyn that PCC and abaqis were now integrated. She was very excited for that and thought that would make things much easier. We discussed their sample. They had not completed all assessments for everyone.Crislyn and the others were talking and she thought they would start a new sample for November. I gave them another option and discussed cycles. Crislyn didn't appreciate me not telling her what to do. She didn't like that I give them options. She said she doesn't do well when things are left up to her and she wants to be told what to do because she doesn't know the program. She said once she knew the program and how everything worked, then she could make more decisions on her own. We determined that we would lock the current sample and use what data they have. They would then spend November and some of December, if needed, doing investigations. Then they would finish the year doing PIPs/corrective action. They would then start a new sample/cycle at the beginning of the year. I showed them how to lock their sample and Crislyn locked it for them. When we do trainings, Crislyn likes to have my screen up as well as her own, so she can click around like I am. We then reviewed the SBCA and I explained how to use that to determine who to investigate. Some areas didn't have comments, so they learned which questions needed comments (as some don't seem like you would). As we were reviewing the SBCA, some questions came up from Bernice about CR and the weights. There was also questions about the AR, as a resident was coded for hospitalizations and death and they didn't know which admission to use. I showed them the yellow banner with the date and that was the date of the admission they should use. Also while reviewing the SBCA, Crislyn gave some great feedback to the other two. She seems to really understand the purpose/intent of the questions and what needs done. We then moved on and created their QAPI snapshot. We discussed the differences between the snapshots. I went over how to navigate the snapshot and we discussed the Un Med investigation/pathway. They had had enough at this point, so we finished the training. Bernice said things made much more sense now and they knew more than they did last year. All questions answered. Crislyn still wanted to have training on 11/20/19. Session 4 (9/16/20): Training completed with Erika and Jonathan. Jonathan is their intern/administrator in training that will be overseeing abaqis. Jonathan did not have a login, so I showed Erika how to get him setup as a user and discussed the access levels. I then started going over navigation of the main dashboard. I went into the resident list and explained how the list was managed. I also explained resident groups and that they would go to the random QAPI samples to create a sample. I explained how workflows worked. Erika wanted to see the COVID self assessment, so I showed that to her - explaining the mange, tasks, and analyze sections. Erika then asked about PIPs. I walked through the example and then walked through how to create one. I then went and explained all the various features that abaqis offers and how they work. I went into the reports section and showed them all the reports that could be ran. I explained the PAC reports and that they could still get some information from the reports based on MDS information, without completing the assessments. Explained they get more detailed information if they complete the assessments. I then finished up by discussing the help and training resources link. We went over the various tabs. I showed them a few of the implementation documents and explained cycles. When I finished, Jonathan said Erika had to step out. Jonathan asked about the readmission rate and how they knew what to compare that percentage to (to know if it was high or was good). I encouraged him to reference their QM. Jonathan asked for my contact information and I provided him with the abaqis trainers email. I told him that I would be going out on maternity leave soon and that email would ensure his email got to the right person - myself or Danielle. He said he would pass on the information to Erika. All questions answered. Jonathan expressed that he thought abaqis seemed pretty self explanatory."
5004V000011UteDQAS,LOT Package,"Session #1-TG-2/20/20- Attendees Nathan only. He thought today's training was just with him on QAPI tools, so we flipped the training agenda. He will have the staff come next week for the training we were supposed to do today. Today he wanted to cover the FA, QAPI plan and PIP's. He already has a FA and QAPI plan and will transfer the info over into abaqis and house them there. They do PIP's now and will start doing them in abaqis. He will start them and would like to make sure he is on the right track. Next session already scheduled on 2/26/20 and link has been sent. Nathan had a question on user access rights and we discussed difference.  Session #2-TG originally scheduled for last week, but Nathan did not show and when called he thought it was a different day and asked to reschedule. Attendees today included: Nathan, Betty MDS, Mary Resident Advocate, Sara Housekeeping, Jackie DON, Emily Office Manager/Infection Preventionist, Mary Administrative Assistant and Steve called in who was the Maintenance Director. We covered the new dashboard, help, scheduled reports, notifications, creating a sample, RI/FI. We will pick up on qapi assessments on next session scheduled for 3/12/20 at 2:30 pm est. I will send the link to Nathan.  Session #3-TG with all the same attendees as Session #2. Review of SI, CR, AR and the SBCA Report. They will work on all qapi assessments until we meet again on 3/26/20 at 3:30 pm est to review their data on all qapi reports and set up their snapshot and discuss the differences in them. I will set a task to monitor usage and send a new link."
5004V000011UteeQAC,abaqis Implementation Series 1,"Session 1 conducted abaqis overview and implementation with Deborah new DON and Randall (Randy) new administrator.Andrew Sedrak also in attendance.  rkropp@good-sam.com dvenett1@good-sam.com Session 2 this was a GoToMeeting with Deb Venetta to discuss QAPI assessments and GS implementation plan. This was not an actual training. I will conduct investigation training with Deb after 10/26,"
5004V000011UteEQAS,Initial LOT (No-Cost) Package,"Session #1-TG-Attendees: Jodi Peek (45 minutes), Joe Pirutinsky (20 minutes). Jodi stated Deb Flack Senior VP not available to attend. Main goal today's was to do a abaqis overview for everyone. Since the other two did not attend for full session Jodi said she wanted to proceed and she would catch them up later. We discussed the difference in the dashboard's, features of abaqis, navigation, notifications, scheduled reports, MDS uploads and how they are a main component, including residents, the different MDS reports and putting MDS data into the FA. Joe mentioned he was contacted by PCC yesterday wanting instructions for them on MDS uploads. I will forward on the support to assist Joe and PCC integration. Jodi did not want to set up a date without conferring with the others. She asked for dates and she chose 1/12/20 between 10-12. She will let me know what time will work best and I will send her the invite. I will set a task in case she doesn't get back with me.   Session #2-TG-Attendees: Jodi Peek-she stated everyone else was busy with surveyors in the building and she would get them up to speed. Jodi felt she knew enough about the QAPI assessments and how to do them and she didn't need any review on them. She wanted to focus on the reports so she can also review the data the facilities put in. CSM was done on Monday and some had already started their samples. We discussed the QAPI reports difference between SBCA and individual reports. The next session she would like to cover the QAPI Plan and PIP's. If time allows we will do the FA, but if not she said she will hold off on FA. She wants to get the homes to start getting them back into abaqis. They have the printed versions from when they were with Aurora and just needs to get them back in. I will send her the link and the documents so she can review and she may get started on those. Next session 3/4/20 at 1 pm est.  Session #3-TG-Attendees: Jodi Peek and Brandi who is a DON currently at Longview but is going to transition into management She has participated in abaqis before when things were printed out and given to her for follow up. We covered the FA, PIP's and QAPI Plan. Next session scheduled for 4/8/20 at 1 pm est to review CSM, differences in snapshots and getting started on Investigations. "
5004V000011UtegQAC,abaqis Implementation Series 1,"Session 1 with Jennifer, she is now overseeing abaqis and wanted to discuss how to better utilize abaqis reports. This was not a training. Don't send evaluation. "
5004V000011UtehQAC,abaqis Implementation Series 1,"8/28/2020 Abaqis Investigations Training conducted with Chelsey Killean (Administrator) and the Westwing abaqis team.  Investigations training conducted today. Initially discussed assessments data and reminded to enter comments Reviewed the SBCA and MDS 3.0 Report as they would need to know why they were investigating a care area.  Navigated the investigations dashboard Demonstrated how to  manually add residents (Hospice, Dialysis etc...) Suggested completing tree residents for Unnecessary Meds, and 3 for all others except for those that were manually added.  Demonstrated how to make compliance decisions for Pressure Ulcers, Dignity and Unnecessary Meds.  Briefly reviewed the Kitchen and Dining Facility Tasks. Reviewed the 3 investigations reports and demonstrated how to interpret the data. Reviewed the Investigation help documents under help and Training Resources Also,suggested considering access the training videos and how to do that. Attendees: Jill Goodman Household Coordinator RN Phone: 563-659-4217 Email: JGoodman@wellspireliving.org Megan Kinney Director of Health Services, Metro Phone: 563-659-4210 Email: MKinney@wellspireliving.org Jennifer Henningsen Business Office Coordinator Phone: 563-659-4235 Email: JHenningsen@ wellspireliving.org  "
